task,size_label,n_vars,seed,mixer,depth_p,expected_normalized_cost,optimum_probability,hit_probability_1024,optimizer_calls,optimizer_s
channel,9,9,3,standard_X,3,0.10209226851845268,0.437605150012619,1.0,2705,0.29400749993510544
channel,9,9,4,standard_X,1,0.19915811127927052,0.042653415037713374,1.0,298,0.012548541999422014
channel,9,9,4,standard_X,2,0.12892894615832845,0.14735311178349572,1.0,1362,0.10332125006243587
channel,9,9,4,standard_X,3,0.10597866127000252,0.2100974771149226,1.0,2705,0.2919226250378415
channel,9,9,5,standard_X,1,0.1815664941771895,0.03289468681313095,0.9999999999999987,303,0.012734208023175597
channel,9,9,5,standard_X,2,0.12663619709481572,0.10395258390983707,1.0,1697,0.12890237499959767
channel,9,9,5,standard_X,3,0.0982873596734253,0.17165596997932556,1.0,2705,0.29766987496986985
channel,12,12,0,standard_X,1,0.1804270566653112,0.0074190972100876855,0.9995121378791169,343,0.06889187498018146
channel,12,12,0,standard_X,2,0.11589719384093061,0.036440339781159424,1.0,1315,0.4484860000666231
channel,12,12,0,standard_X,3,0.08392185558819443,0.07093401517699817,1.0,2237,1.0997251250082627
channel,12,12,1,standard_X,1,0.1704765693185565,0.00619585048750019,0.9982780319183884,345,0.06321975006721914
channel,12,12,1,standard_X,2,0.11609260942861943,0.023107096892105942,0.9999999999598873,1552,0.5255107079865411
channel,12,12,1,standard_X,3,0.09476737394194316,0.03685040948743985,1.0,2705,1.3417852920247242
channel,12,12,2,standard_X,1,0.136711646261247,0.003782457169863844,0.9793611455393865,334,0.06080775009468198
channel,12,12,2,standard_X,2,0.09410745223807268,0.011680927815779283,0.9999940473750957,1717,0.57297570805531
channel,12,12,2,standard_X,3,0.08054807666082939,0.016819173971481746,0.9999999713844585,2705,1.344624082907103
channel,12,12,3,standard_X,1,0.17248622049818685,0.008573267211798597,0.9998517891406039,348,0.06377391703426838
channel,12,12,3,standard_X,2,0.11353263772228463,0.035000459896361816,0.9999999999999999,1505,0.5132360840216279
channel,12,12,3,standard_X,3,0.08610106312372146,0.05636666317635102,1.0,2705,1.323217208031565
channel,12,12,4,standard_X,1,0.20313822624378902,0.012256281638413963,0.9999967210177579,316,0.0582723330007866
channel,12,12,4,standard_X,2,0.13319550561345994,0.05234006024004722,1.0,1313,0.44538895902223885
channel,12,12,4,standard_X,3,0.08874142897390411,0.1219679191293139,1.0,2327,1.1520173749886453
channel,12,12,5,standard_X,1,0.21488938186521586,0.014463490904877653,0.9999996682105888,339,0.06474145804531872
channel,12,12,5,standard_X,2,0.15061793987409572,0.07743276811581239,1.0,1393,0.4769418330397457
channel,12,12,5,standard_X,3,0.11731414093935064,0.1541932988358592,1.0,2705,1.4053360830293968
placement,6,6,0,standard_X,1,0.08393723711425499,0.06052750894847955,1.0,285,0.006457374896854162
placement,6,6,0,standard_X,2,0.021224807049597214,0.1071807677378775,1.0,1702,0.06906529201660305
placement,6,6,0,standard_X,3,0.014308600115644016,0.1168110308373794,1.0,2705,0.14336562505923212
placement,6,6,1,standard_X,1,0.08428097692802433,0.0618897821680096,1.0,291,0.006537082954309881
placement,6,6,1,standard_X,2,0.038698355970429504,0.10130787473566831,1.0,1708,0.06501666700933129
placement,6,6,1,standard_X,3,0.0313419264454621,0.10414452561157439,1.0,2705,0.1424742080271244
placement,6,6,2,standard_X,1,0.07914922077238914,0.05493068389571908,1.0,289,0.006386749912053347
placement,6,6,2,standard_X,2,0.044806497269493074,0.11564292174704424,1.0,1719,0.06555008294526488
placement,6,6,2,standard_X,3,0.04996493526303282,0.11601582104580456,1.0,2705,0.14315799996256828
placement,6,6,3,standard_X,1,0.08219447044773337,0.06038044901332283,1.0,264,0.006372792064212263
placement,6,6,3,standard_X,2,0.042212850898355636,0.09387833972161327,1.0,1670,0.06982245901599526
placement,6,6,3,standard_X,3,0.009873908734564524,0.11431419785253139,1.0,2705,0.14325045805890113
placement,6,6,4,standard_X,1,0.06079409695421108,0.05831760086468604,1.0,245,0.005463375011458993
placement,6,6,4,standard_X,2,0.04877626124436775,0.08637615906710881,1.0,1731,0.06614945898763835
placement,6,6,4,standard_X,3,0.03673964569019594,0.12264606298007504,1.0,2622,0.13843041704967618
placement,6,6,5,standard_X,1,0.07835601454592699,0.06174187722263633,1.0,291,0.006510541075840592
placement,6,6,5,standard_X,2,0.06145182027963707,0.09013876994084967,1.0,1512,0.05729875003453344
placement,6,6,5,standard_X,3,0.02390977913784527,0.09531471586953304,1.0,2705,0.14096770796459168
placement,9,9,0,standard_X,1,0.07224272091205838,0.011288782099785528,0.9999910642962477,296,0.012677499908022583
placement,9,9,0,standard_X,2,0.07037140292506855,0.011276513023544436,0.9999909500266713,1585,0.11975583399180323
placement,9,9,0,standard_X,3,0.047721308866617074,0.024825471033698733,0.9999999999933881,2705,0.2905507499817759
placement,9,9,1,standard_X,1,0.07763898541439351,0.012205417366393861,0.9999965434774898,328,0.013860457926057279
placement,9,9,1,standard_X,2,0.04747856436234618,0.030185827716389495,0.9999999999999766,1765,0.1343255420215428
placement,9,9,1,standard_X,3,0.032964983727752896,0.03838514629242871,1.0,2585,0.31052508391439915
placement,9,9,2,standard_X,1,0.07303336312468653,0.011550045048610045,0.9999931829196106,270,0.011705499957315624
placement,9,9,2,standard_X,2,0.04906603180834304,0.028089641010112566,0.9999999999997866,1738,0.13443095807451755
placement,9,9,2,standard_X,3,0.03416534295981485,0.04350882498640433,1.0,2633,0.2936393750132993
placement,9,9,3,standard_X,1,0.07733088468606254,0.012294084062196895,0.9999968470380061,293,0.01251183298882097
placement,9,9,3,standard_X,2,0.06116619601053912,0.021862780302038684,0.9999999998523003,1794,0.13600079098250717
placement,9,9,3,standard_X,3,0.039012638590502316,0.0398635662994122,1.0,2705,0.2927434160374105
placement,9,9,4,standard_X,1,0.07654290951206039,0.008516135781967894,0.9998427805240812,248,0.010429791989736259
placement,9,9,4,standard_X,2,0.050106603178837555,0.019444571053062916,0.9999999981486859,1669,0.12774529203306884
placement,9,9,4,standard_X,3,0.04799087333355948,0.024509766589543836,0.9999999999907897,2705,0.29415254201740026
placement,9,9,5,standard_X,1,0.08369358072084496,0.008789408395810978,0.9998814459283442,288,0.012295790947973728
placement,9,9,5,standard_X,2,0.04807890895267808,0.022667681452883923,0.9999999999364267,1351,0.10232700000051409
placement,9,9,5,standard_X,3,0.026175728711941067,0.04158084354330449,1.0,2411,0.2646802080562338
placement,12,12,0,standard_X,1,0.04604606638403105,0.003803470064483938,0.9798021470463983,339,0.06324170902371407
placement,12,12,0,standard_X,2,0.03250781478197064,0.007993884573666283,0.9997304161648337,1693,0.5607816249830648
placement,12,12,0,standard_X,3,0.030922996829936246,0.009304365429891505,0.9999303669701578,2705,1.294313000049442
placement,12,12,1,standard_X,1,0.054342129344657916,0.0031037515780209077,0.9585465464140589,337,0.061101083061657846
placement,12,12,1,standard_X,2,0.03137592785855932,0.0074068106795926025,0.9995059146893447,1606,0.5400157499825582
placement,12,12,1,standard_X,3,0.02129749264352598,0.015164373896951746,0.999999839867058,2477,1.2047812910750508
placement,12,12,2,standard_X,1,0.049988756828466666,0.0014065363640936432,0.763381727292101,313,0.0577889159321785
placement,12,12,2,standard_X,2,0.02928143165659809,0.003047909193644185,0.9560993017381189,1730,0.5884000830119476
placement,12,12,2,standard_X,3,0.03303551204658378,0.0003941798433942978,0.3321687345298554,2705,1.3163721250602975
placement,12,12,3,standard_X,1,0.0452899712116385,0.003927494284843066,0.982219849703326,327,0.05989816703367978
placement,12,12,3,standard_X,2,0.029138383055441676,0.00817012117930325,0.9997752603275316,1677,0.5628720410168171
placement,12,12,3,standard_X,3,0.02036887903819267,0.014977409643210713,0.9999998055091248,2681,1.3096487500006333
placement,12,12,4,standard_X,1,0.0506213283187636,0.003333853762951386,0.9672734825429001,298,0.05448962503578514
placement,12,12,4,standard_X,2,0.0367504471150073,0.006638275781064409,0.9989085595068963,1616,0.5328209999715909
placement,12,12,4,standard_X,3,0.03356431588321351,0.007865953157458484,0.9996923605974453,2705,1.30097779200878
placement,12,12,5,standard_X,1,0.04958964485466551,0.0027323789024104672,0.9392984175607471,312,0.05665408296044916
placement,12,12,5,standard_X,2,0.03262971538175312,0.002162900883550592,0.8910873584652322,1322,0.4438984169391915
placement,12,12,5,standard_X,3,0.01826917334834794,0.00841740429013322,0.99982590395644,2705,1.3248314160155132
routing,6,6,0,standard_X,1,0.04994274137082487,0.04576300373425096,1.0,282,0.006299416068941355
routing,6,6,0,standard_X,2,0.03608556450135665,0.06907765964901037,1.0,1400,0.054210957954637706
routing,6,6,0,standard_X,3,0.03190851168394523,0.0667160869912909,1.0,2705,0.14544233307242393
routing,6,6,1,standard_X,1,0.06342983591104645,0.04734100643653289,1.0,295,0.0067790409084409475
routing,6,6,1,standard_X,2,0.03970547280170786,0.07252773757763055,1.0,1628,0.06329150008969009
routing,6,6,1,standard_X,3,0.03458944765092521,0.10300490822221452,1.0,2459,0.13058783393353224
routing,6,6,2,standard_X,1,0.0765639553308465,0.058535836978281235,1.0,262,0.005826624925248325
routing,6,6,2,standard_X,2,0.06133825796160507,0.07819705371421865,1.0,1676,0.06333408399950713
routing,6,6,2,standard_X,3,0.0281441767587321,0.10449552809114983,1.0,2705,0.14158837497234344
routing,6,6,3,standard_X,1,0.0802304455861927,0.041722311616516426,1.0,250,0.005503375083208084
routing,6,6,3,standard_X,2,0.06500063081283206,0.06091391985741944,1.0,1805,0.06901487498544157
routing,6,6,3,standard_X,3,0.050136267256756,0.10244487324831296,1.0,2667,0.139808583073318
routing,6,6,4,standard_X,1,0.06198975564485568,0.043232823162194275,1.0,253,0.0057047499576583505
routing,6,6,4,standard_X,2,0.03999468629915806,0.06253092958258709,1.0,1759,0.06784708297345787
routing,6,6,4,standard_X,3,0.042950528944510395,0.06357802655011945,1.0,2705,0.144289750023745
routing,6,6,5,standard_X,1,0.07840827719648248,0.05666663816508921,1.0,293,0.006670167087577283
routing,6,6,5,standard_X,2,0.02160237846797785,0.09641534981759178,1.0,1430,0.05593887495342642
routing,6,6,5,standard_X,3,0.004967673377114748,0.1126336501003696,1.0,2705,0.14833175006788224
routing,9,9,0,standard_X,1,0.047583369339998696,0.007060586751536694,0.9992938520506118,290,0.012372041936032474
routing,9,9,0,standard_X,2,0.03412928427062048,0.006522350086006152,0.9987700265321375,1618,0.12466604192741215
routing,9,9,0,standard_X,3,0.02914732353210981,0.00783195711334645,0.999681374741385,2705,0.2947205000091344
routing,9,9,1,standard_X,1,0.04056037111794404,0.009412559876021137,0.9999377348873617,331,0.013863291940651834
routing,9,9,1,standard_X,2,0.023355546107486275,0.009720839344134518,0.9999547286703526,1452,0.11035550001543015
routing,9,9,1,standard_X,3,0.020468734781426835,0.01817851891891995,0.9999999930607837,2705,0.29426574998069555
routing,9,9,2,standard_X,1,0.046988189638350414,0.00840101683305623,0.9998229326467399,291,0.012206457904540002
routing,9,9,2,standard_X,2,0.032577020276347776,0.009514522956343537,0.9999439640440924,1801,0.13809899997431785
routing,9,9,2,standard_X,3,0.03127112233254836,0.012469316510285145,0.9999973708655187,2705,0.29610533406957984
routing,9,9,3,standard_X,1,0.04776744852573904,0.010098279501275086,0.999969359984798,291,0.012467666994780302
routing,9,9,3,standard_X,2,0.030280649492634912,0.016310161314897684,0.9999999513837244,1495,0.11396095796953887
routing,9,9,3,standard_X,3,0.0208066777548667,0.04649820120279618,1.0,2705,0.2949257920263335
routing,9,9,4,standard_X,1,0.044976509576324715,0.012885202168601975,0.9999982920059179,279,0.011766458046622574
routing,9,9,4,standard_X,2,0.028679018726912225,0.020795101401835634,0.999999999548619,1764,0.13502837507985532
routing,9,9,4,standard_X,3,0.029441615506684664,0.01408253450094327,0.999999507128574,2705,0.29737674992065877
routing,9,9,5,standard_X,1,0.054926705748154725,0.00915255448145203,0.999918537613344,285,0.012168333982117474
routing,9,9,5,standard_X,2,0.03604598733389019,0.011083242773061143,0.9999889447198056,1125,0.0980544169433415
routing,9,9,5,standard_X,3,0.03182099393438531,0.02081961125949063,0.9999999995600415,2705,0.29396912502124906
routing,12,12,0,standard_X,1,0.03071340254482261,0.004278913249472308,0.9876117675527858,323,0.058695583953522146
routing,12,12,0,standard_X,2,0.016751084696461277,0.0073231369205150375,0.9994613716300272,1586,0.5276204999536276
routing,12,12,0,standard_X,3,0.014328578772336339,0.010548713659838817,0.9999807742422764,2705,1.3003392919199541
routing,12,12,1,standard_X,1,0.0379675369493563,0.0029360383849786164,0.9507539229749498,347,0.062169875018298626
routing,12,12,1,standard_X,2,0.019138987695813833,0.0026559406728490025,0.9343423603317575,1599,0.5306433329824358
routing,12,12,1,standard_X,3,0.014154785518824878,0.011730420033469871,0.9999943449328652,2705,1.3199822918977588
routing,12,12,2,standard_X,1,0.027190857074718723,0.004723532951306423,0.9921587535103829,324,0.059582042042165995
routing,12,12,2,standard_X,2,0.011483407709676874,0.005890470228322313,0.9976413757585194,1672,0.5583292919909582
routing,12,12,2,standard_X,3,0.009041638816293607,0.0217829697841434,0.9999999998394299,2705,1.3145481670508161
routing,12,12,3,standard_X,1,0.0263573030655925,0.004038906988669029,0.9841441292325341,326,0.0595944159431383
routing,12,12,3,standard_X,2,0.01267801214689227,0.0016125448452272428,0.8084446941266141,1659,0.554203417035751
routing,12,12,3,standard_X,3,0.010834907812746432,0.0051974082123122526,0.9951850268118565,2705,1.312790249940008
routing,12,12,4,standard_X,1,0.0330870847605644,0.0033824375430945635,0.9688670028029593,320,0.05843041592743248
routing,12,12,4,standard_X,2,0.020861150122660387,0.0015373069628057626,0.7930780453644345,1496,0.49584779096767306
routing,12,12,4,standard_X,3,0.017961461643322362,0.0024459634579259417,0.918547458928009,2705,1.2955350829288363
routing,12,12,5,standard_X,1,0.024095768656924307,0.0052692981940785375,0.995528482423383,342,0.061710125068202615
routing,12,12,5,standard_X,2,0.013314765996403724,0.006897038559367048,0.999164128323926,1311,0.4370699579594657
routing,12,12,5,standard_X,3,0.010704954566117197,0.007837209559057241,0.9996830973278351,2619,1.2767401669407263
